,Name,Type,Languages,Domains,License,Description
10,NusaTranslationBitextMining,BitextMining,"{'bew', 'bbc', 'mad', 'sun', 'ind', 'min', 'bhp', 'jav', 'mak', 'abs', 'rej', 'mui'}","['Social', 'Written']",CC BY-SA 4.0,NusaTranslation is a parallel dataset for machine translation on 11 Indonesia languages and English.
11,NusaXBitextMining,BitextMining,"{'bjn', 'bbc', 'mad', 'nij', 'ace', 'ind', 'min', 'bug', 'jav', 'eng', 'ban', 'sun'}","['Reviews', 'Written']",CC BY-SA 4.0,NusaX is a parallel dataset for machine translation and sentiment analysis on 11 Indonesia languages and English.
12,Tatoeba,BitextMining,"{'ita', 'max', 'ast', 'ell', 'slk', 'nov', 'uig', 'mal', 'swh', 'bre', 'mhr', 'tur', 'bel', 'kur', 'nld', 'vie', 'cha', 'kaz', 'bos', 'epo', 'tgl', 'ber', 'isl', 'tel', 'mar', 'nob', 'eng', 'lat', 'mkd', 'csb', 'pes', 'yid', 'hun', 'rus', 'dan', 'jav', 'xho', 'kab', 'sqi', 'fra', 'ido', 'hye', 'dtp', 'gla', 'arq', 'amh', 'swg', 'gle', 'bul', 'srp', 'kor', 'ina', 'est', 'afr', 'cmn', 'glg', 'yue', 'kzj', 'arz', 'fao', 'ind', 'orv', 'ron', 'cor', 'cbk', 'wuu', 'awa', 'zsm', 'tam', 'lfn', 'nds', 'slv', 'nno', 'lvs', 'por', 'hin', 'khm', 'cat', 'eus', 'pam', 'kat', 'ang', 'urd', 'ile', 'tuk', 'ara', 'ukr', 'pol', 'gsw', 'cym', 'ceb', 'lit', 'spa', 'tzl', 'heb', 'oci', 'tat', 'fin', 'deu', 'swe', 'ces', 'hsb', 'aze', 'jpn', 'ben', 'hrv', 'mon', 'pms', 'tha', 'dsb', 'fry', 'war', 'uzb'}",['Written'],CC BY 2.0,"1,000 English-aligned sentence pairs for each language based on the Tatoeba corpus"
13,BulgarianStoreReviewSentimentClassfication,Classification,{'bul'},"['Reviews', 'Written']",cc-by-4.0,Bulgarian online store review dataset for sentiment classification.
14,CzechProductReviewSentimentClassification,Classification,{'ces'},"['Reviews', 'Written']",CC BY-NC-SA 4.0,"User reviews of products on Czech e-shop Mall.cz with 3 sentiment classes (positive, neutral, negative)"
15,GreekLegalCodeClassification,Classification,{'ell'},"['Legal', 'Written']",cc-by-4.0,Greek Legal Code Dataset for Classification. (subset = chapter)
16,DBpediaClassification,Classification,{'eng'},"['Encyclopaedic', 'Written']",cc-by-sa-3.0,"DBpedia14 is a dataset of English texts from Wikipedia articles, categorized into 14 non-overlapping classes based on their DBpedia ontology."
17,FinancialPhrasebankClassification,Classification,{'eng'},"['News', 'Written']",cc-by-nc-sa-3.0,"Polar sentiment dataset of sentences from financial news, categorized by sentiment into positive, negative, or neutral."
18,PoemSentimentClassification,Classification,{'eng'},"['Reviews', 'Written']",CC-BY-4.0,Poem Sentiment is a sentiment dataset of poem verses from Project Gutenberg.
19,ToxicConversationsClassification,Classification,{'eng'},"['Social', 'Written']",CC BY 4.0,Collection of comments from the Civil Comments platform together with annotations if the comment is toxic or not.
20,TweetTopicSingleClassification,Classification,{'eng'},"['Social', 'News', 'Written']",Other,"Topic classification dataset on Twitter with 6 labels. Each instance of
        TweetTopic comes with a timestamp which distributes from September 2019 to August 2021.
        Tweets were preprocessed before the annotation to normalize some artifacts, converting
        URLs into a special token {{URL}} and non-verified usernames into {{USERNAME}}. For verified
        usernames, we replace its display name (or account name) with symbols {@}.
        "
21,EstonianValenceClassification,Classification,{'est'},"['News', 'Written']",CC BY 4.0,Dataset containing annotated Estonian news data from the Postimees and Õhtuleht newspapers.
22,FilipinoShopeeReviewsClassification,Classification,{'fil'},"['Social', 'Written']",MPL-2.0,"The Shopee reviews tl 15 dataset is constructed by randomly taking 2100 training samples and 450 samples for testing and validation for each review star from 1 to 5. In total, there are 10500 training samples and 2250 each in validation and testing samples."
23,GujaratiNewsClassification,Classification,{'guj'},"['News', 'Written']",MIT,A Gujarati dataset for 3-class classification of Gujarati news articles
24,SentimentAnalysisHindi,Classification,{'hin'},"['Reviews', 'Written']",CC BY-NC-SA 4.0,Hindi Sentiment Analysis Dataset
25,IndonesianIdClickbaitClassification,Classification,{'ind'},"['News', 'Written']",cc-by-4.0,The CLICK-ID dataset is a collection of Indonesian news headlines that was collected from 12 local online news publishers.
26,ItaCaseholdClassification,Classification,{'ita'},"['Legal', 'Government', 'Written']",Apache 2.0,An Italian Dataset consisting of 1101 pairs of judgments and their official holdings between the years 2019 and 2022 from the archives of Italian Administrative Justice categorized with 64 subjects.
27,KorSarcasmClassification,Classification,{'kor'},"['Social', 'Written']",MIT,"
        The Korean Sarcasm Dataset was created to detect sarcasm in text, which can significantly alter the original
        meaning of a sentence. 9319 tweets were collected from Twitter and labeled for sarcasm or not_sarcasm. These
        tweets were gathered by querying for: irony sarcastic, and
        sarcasm. 
        The dataset was created by gathering HTML data from Twitter. Queries for hashtags that include sarcasm
        and variants of it were used to return tweets. It was preprocessed by removing the keyword
        hashtag, urls and mentions of the user to preserve anonymity.
        "
28,KurdishSentimentClassification,Classification,{'kur'},"['Web', 'Written']",CC BY 4.0,Kurdish Sentiment Dataset
29,MacedonianTweetSentimentClassification,Classification,{'mkd'},"['Social', 'Written']",CC BY-NC-SA 3.0,An Macedonian dataset for tweet sentiment classification.
30,AfriSentiClassification,Classification,"{'yor', 'kin', 'pcm', 'twi', 'ary', 'por', 'tso', 'arq', 'hau', 'amh', 'ibo', 'swa'}","['Social', 'Written']",Creative Commons Attribution 4.0 International License,AfriSenti is the largest sentiment analysis dataset for under-represented African languages.
31,AmazonCounterfactualClassification,Classification,"{'deu', 'eng', 'jpn'}","['Reviews', 'Written']",CC BY 4.0,A collection of Amazon customer reviews annotated for counterfactual detection pair classification.
32,CataloniaTweetClassification,Classification,"{'spa', 'cat'}","['Social', 'Government', 'Written']",cc-by-sa-4.0,"This dataset contains two corpora in Spanish and Catalan that consist of annotated Twitter
        messages for automatic stance detection. The data was collected over 12 days during February and March
        of 2019 from tweets posted in Barcelona, and during September of 2018 from tweets posted in the town of Terrassa, Catalonia.
        Each corpus is annotated with three classes: AGAINST, FAVOR and NEUTRAL, which express the stance
        towards the target - independence of Catalonia.
        "
33,CyrillicTurkicLangClassification,Classification,"{'kir', 'bak', 'sah', 'chv', 'tat', 'rus', 'kaz', 'krc', 'tyv'}","['Web', 'Written']",CC BY-NC 4.0 DEED,Cyrillic dataset of 8 Turkic languages spoken in Russia and former USSR
34,IndicLangClassification,Classification,"{'san', 'kas', 'mni', 'sat', 'mal', 'brx', 'pan', 'asm', 'tam', 'snd', 'kan', 'mai', 'ben', 'ory', 'guj', 'doi', 'hin', 'tel', 'mar', 'gom', 'npi', 'urd'}","['Web', 'Non-fiction', 'Written']",CC0,A language identification test set for native-script as well as Romanized text which spans 22 Indic languages.
35,MasakhaNEWSClassification,Classification,"{'yor', 'pcm', 'lin', 'run', 'fra', 'hau', 'ibo', 'amh', 'som', 'eng', 'swa', 'xho', 'tir', 'lug', 'sna', 'orm'}","['News', 'Written']",cc-by-nc-4.0,MasakhaNEWS is the largest publicly available dataset for news topic classification in 16 languages widely spoken in Africa. The train/validation/test sets are available for all the 16 languages.
36,MassiveIntentClassification,Classification,"{'afr', 'ara', 'ita', 'pol', 'hun', 'rus', 'cym', 'dan', 'jav', 'swa', 'ell', 'mya', 'spa', 'sqi', 'mal', 'heb', 'cmo', 'fra', 'ind', 'tur', 'ron', 'fin', 'deu', 'tam', 'nld', 'hye', 'swe', 'lav', 'vie', 'amh', 'kan', 'slv', 'jpn', 'aze', 'tgl', 'ben', 'mon', 'isl', 'tha', 'kor', 'por', 'fas', 'hin', 'khm', 'tel', 'nob', 'eng', 'msa', 'kat', 'urd'}",['Spoken'],Apache 2.0,MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages
37,MultiHateClassification,Classification,"{'ara', 'deu', 'nld', 'por', 'cmn', 'ita', 'pol', 'fra', 'hin', 'eng', 'spa'}","['Constructed', 'Written']",cc-by-4.0,"Hate speech detection dataset with binary
                       (hateful vs non-hateful) labels. Includes 25+ distinct types of hate
                       and challenging non-hate, and 11 languages.
                     "
38,NordicLangClassification,Classification,"{'isl', 'swe', 'fao', 'nob', 'dan', 'nno'}",['Encyclopaedic'],cc-by-sa-3.0,A dataset for Nordic language identification.
39,NusaParagraphEmotionClassification,Classification,"{'bew', 'mad', 'bbc', 'sun', 'min', 'bug', 'jav', 'mak', 'rej', 'mui'}","['Non-fiction', 'Fiction', 'Written']",Apache 2.0,NusaParagraphEmotionClassification is a multi-class emotion classification on 10 Indonesian languages from the NusaParagraph dataset.
40,NusaX-senti,Classification,"{'bjn', 'bbc', 'mad', 'nij', 'ace', 'ind', 'min', 'bug', 'jav', 'eng', 'ban', 'sun'}","['Reviews', 'Web', 'Social', 'Constructed', 'Written']",CC-BY-SA 4.0,"NusaX is a high-quality multilingual parallel corpus that covers 12 languages, Indonesian, English, and 10 Indonesian local languages, namely Acehnese, Balinese, Banjarese, Buginese, Madurese, Minangkabau, Javanese, Ngaju, Sundanese, and Toba Batak. NusaX-Senti is a 3-labels (positive, neutral, negative) sentiment analysis dataset for 10 Indonesian local languages + Indonesian and English."
41,ScalaClassification,Classification,"{'swe', 'nob', 'dan', 'nno'}","['Fiction', 'News', 'Non-fiction', 'Blog', 'Spoken', 'Web', 'Written']",CC BY-SA 4.0,"ScaLa a linguistic acceptability dataset for the mainland Scandinavian languages automatically constructed from dependency annotations in Universal Dependencies Treebanks. 
        Published as part of 'ScandEval: A Benchmark for Scandinavian Natural Language Processing'"
42,SwissJudgementClassification,Classification,"{'ita', 'deu', 'fra'}","['Legal', 'Written']",CC-BY-4.0,"Multilingual, diachronic dataset of Swiss Federal Supreme Court cases annotated with the respective binarized judgment outcome (approval/dismissal)"
43,NepaliNewsClassification,Classification,{'nep'},"['News', 'Written']",CC BY-SA 4.0,A Nepali dataset for 7500 news articles 
44,OdiaNewsClassification,Classification,{'ory'},"['News', 'Written']",MIT,A Odia dataset for 3-class classification of Odia news articles
45,PunjabiNewsClassification,Classification,{'pan'},"['News', 'Written']",MIT,A Punjabi dataset for 2-class classification of Punjabi news articles
46,PolEmo2.0-OUT,Classification,{'pol'},"['Written', 'Social']",cc-by-sa-4.0,"A collection of Polish online reviews from four domains: medicine, hotels, products and school. The PolEmo2.0-OUT task is to predict the sentiment of out-of-domain (products and school) reviews using models train on reviews from medicine and hotels domains."
47,PAC,Classification,{'pol'},"['Legal', 'Written']",cc-by-nc-sa-4.0,Polish Paraphrase Corpus
48,SinhalaNewsClassification,Classification,{'sin'},"['News', 'Written']",mit,"This file contains news texts (sentences) belonging to 5 different news categories (political, business, technology, sports and Entertainment). The original dataset was released by Nisansa de Silva (Sinhala Text Classification: Observations from the Perspective of a Resource Poor Language, 2015)."
49,CSFDSKMovieReviewSentimentClassification,Classification,{'slk'},"['Reviews', 'Written']",CC-BY-SA-4.0,The dataset contains 30k user reviews from csfd.cz in Slovak.
50,SiswatiNewsClassification,Classification,{'ssw'},"['News', 'Written']",CC-BY-SA-4.0,Siswati News Classification Dataset
51,SlovakMovieReviewSentimentClassification,Classification,{'svk'},"['Reviews', 'Written']",CC BY-NC-SA 4.0,"User reviews of movies on the CSFD movie database, with 2 sentiment classes (positive, negative)"
52,SwahiliNewsClassification,Classification,{'swa'},"['News', 'Written']",CC BY-NC-SA 4.0,"Dataset for Swahili News Classification, categorized with 6 domains (Local News (Kitaifa), International News (Kimataifa), Finance News (Uchumi), Health News (Afya), Sports News (Michezo), and Entertainment News (Burudani)). Building and Optimizing Swahili Language Models: Techniques, Embeddings, and Datasets"
53,DalajClassification,Classification,{'swe'},"['Non-fiction', 'Written']",CC-BY-4.0,A Swedish dataset for linguistic acceptability. Available as a part of Superlim.
54,TswanaNewsClassification,Classification,{'tsn'},"['News', 'Written']",CC-BY-SA-4.0,Tswana News Classification Dataset
55,IsiZuluNewsClassification,Classification,{'zul'},"['News', 'Written']",CC-BY-SA-4.0,isiZulu News Classification Dataset
56,WikiCitiesClustering,Clustering,{'eng'},"['Encyclopaedic', 'Written']",cc-by-sa-4.0,"Clustering of Wikipedia articles of cities by country from https://huggingface.co/datasets/wikipedia. Test set includes 126 countries, and a total of 3531 cities."
57,MasakhaNEWSClusteringS2S,Clustering,"{'yor', 'pcm', 'lin', 'run', 'fra', 'hau', 'ibo', 'amh', 'som', 'eng', 'swa', 'xho', 'tir', 'lug', 'sna', 'orm'}",,,Clustering of news article headlines from MasakhaNEWS dataset. Clustering of 10 sets on the news article label.
58,RomaniBibleClustering,Clustering,{'rom'},"['Religious', 'Written']",MIT,Clustering verses from the Bible in Kalderash Romani by book.
59,ArXivHierarchicalClusteringP2P,Clustering,{'eng'},"['Academic', 'Written']",CC0,"Clustering of titles+abstract from arxiv. Clustering of 30 sets, either on the main or secondary category"
